ward_id,ward_num,ward_name,zone_name,area_sqm,area_sqkm,population_2011,density_2011,updated_population_2023,slum_percentage,centroid_lon,centroid_lat,mean_aqi,mean_electricity_kwh,mean_water_liters,mean_traffic_speed_kmph,green_cover_ratio,built_density_score,compactness_score,sprawl_index,electricity_stress_index,water_stress_index,sewage_stress_index,pollution_stress_index,mobility_stress_index,amenity_gap_score,transport_gap_score,resource_gap_score
ward_120,120,Cottonpete,164-GANDHI NAGAR,3119557.146487304,3.119557146487304,37344,11970.93,44649,6.52,77.62837848183501,12.933650669392291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_121,121,Binnipete,164-GANDHI NAGAR,1871341.816425747,1.871341816425747,37354,19961.08,44661,11.97,77.63221275255206,13.019714659629228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_122,122,Kempapura Agrahara,167-VIJAYA NAGAR,1859846.3132705414,1.8598463132705414,40032,21524.36,47863,13.03,77.59481788659576,12.912088432434349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_123,123,Vijayanagar,167-VIJAYA NAGAR,1595068.8529487716,1.5950688529487715,40331,25284.8,48220,16.06,77.61682752197686,13.035434780380085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_124,124,Hosahalli,167-VIJAYA NAGAR,1312548.4912020804,1.3125484912020804,37347,28453.81,44653,17.27,77.52060496747707,12.942319237898813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_125,125,Marenahalli,166-GOVINDRAJA NAGAR,1885023.7509695948,1.8850237509695948,21171,11231.16,25312,5.76,77.58436463359794,12.909359638285459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_126,126,Maruthi Mandir ward,166-GOVINDRAJA NAGAR,1810889.8478004853,1.8108898478004853,29319,16190.38,35054,10.3,77.6115414971994,12.91560135102508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_127,127,Mudalapalya,166-GOVINDRAJA NAGAR,5485194.425632322,5.485194425632322,43729,7972.19,52283,3.64,77.53241391919671,13.031759007135355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_128,128,Nagarabhavi,166-GOVINDRAJA NAGAR,1564510.0957317916,1.5645100957317917,35780,22869.78,42779,13.64,77.55571469956026,12.911157544391154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_129,129,Jnana Bharathi ward,154-RAJARAJESHWARI NAGAR,10475227.420963284,10.475227420963284,68132,6504.11,81460,2.12,77.64040196256828,12.941505440928541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
