park_id,park_name,area_sqkm,lat,lon,amenities_available,h3_index,index_right,ward_id
kmlpark_847,,0.06781,12.94409,77.571575,,8860145a69fffff,24.0,ward_25
kmlpark_848,,0.03592,12.948012,77.57353,,8860145a6dfffff,24.0,ward_25
kmlpark_849,,0.07638,12.95121,77.594284,,88618925bdfffff,35.0,ward_36
kmlpark_850,,0.06457,12.947408,77.595201,,8861892587fffff,35.0,ward_36
kmlpark_851,,0.02377,12.942986,77.597492,,8861892583fffff,54.0,ward_55
kmlpark_852,,0.05289,12.945383,77.60163,,8861892581fffff,35.0,ward_36
kmlpark_853,,0.09312,12.943006,77.57413,,8861892597fffff,24.0,ward_25
kmlpark_854,,0.04743,12.94237,77.580895,,8861892597fffff,31.0,ward_32
kmlpark_855,,0.06369,12.943335,77.583024,,8861892595fffff,31.0,ward_32
kmlpark_856,,0.07025,12.940087,77.584264,,8861892595fffff,31.0,ward_32
kmlpark_857,,0.06185,12.939848,77.584231,,8861892595fffff,31.0,ward_32
kmlpark_858,,0.07042,12.944053,77.577247,,8861892597fffff,31.0,ward_32
kmlpark_859,,0.01085,12.943261,77.569427,,8860145a69fffff,47.0,ward_48
kmlpark_860,,0.05447,12.943261,77.569427,,8860145a69fffff,47.0,ward_48
kmlpark_861,,0.04248,12.935996,77.573631,,8861892593fffff,47.0,ward_48
kmlpark_862,,0.04987,12.937897,77.57148,,8860145a69fffff,47.0,ward_48
kmlpark_863,,0.04262,12.937667,77.569009,,8860145a69fffff,47.0,ward_48
kmlpark_864,,0.08929,12.934326,77.565801,,8860145a45fffff,61.0,ward_62
kmlpark_865,,0.03012,12.931862,77.564981,,8860145a45fffff,61.0,ward_62
kmlpark_866,,0.03025,12.951593,77.557247,,8860145a63fffff,39.0,ward_40
kmlpark_867,,0.06664,12.948591,77.559124,,8860145a63fffff,39.0,ward_40
kmlpark_868,,0.01598,12.947183,77.563911,,8860145a61fffff,39.0,ward_40
kmlpark_869,,0.06467,12.944788,77.563074,,8860145a61fffff,39.0,ward_40
kmlpark_870,,0.00894,12.948943,77.560967,,8860145a61fffff,39.0,ward_40
kmlpark_871,,0.05068,12.948616,77.562298,,8860145a61fffff,39.0,ward_40
kmlpark_872,,0.07235,12.947882,77.55828,,8860145a63fffff,39.0,ward_40
kmlpark_873,,0.07746,12.944484,77.554373,,8860145a0dfffff,50.0,ward_51
kmlpark_874,,0.02732,12.934526,77.543128,,8860145a0bfffff,84.0,ward_85
kmlpark_875,,0.05967,12.942624,77.542778,,8860145a01fffff,72.0,ward_73
kmlpark_876,,0.05044,12.932799,77.543943,,8860145a09fffff,84.0,ward_85
kmlpark_877,,0.10456,12.938641,77.545686,,8860145a01fffff,72.0,ward_73
kmlpark_878,,0.02718,12.938546,77.545707,,8860145a01fffff,72.0,ward_73
kmlpark_879,,0.05505,12.939747,77.559584,,8860145a6bfffff,47.0,ward_48
kmlpark_880,,0.0248,12.939489,77.547382,,8860145a01fffff,72.0,ward_73
kmlpark_881,,0.03749,12.929699,77.5478,,8860145a09fffff,84.0,ward_85
kmlpark_882,,0.04878,12.9322,77.548998,,8860145a09fffff,84.0,ward_85
kmlpark_883,,0.0197,12.938562,77.563221,,8860145a6bfffff,47.0,ward_48
kmlpark_884,,0.061,12.926647,77.554364,,8860145a43fffff,84.0,ward_85
kmlpark_885,,0.08126,12.940132,77.561932,,8860145a6bfffff,47.0,ward_48
kmlpark_886,,0.07215,12.925619,77.553483,,8860145a43fffff,84.0,ward_85
kmlpark_887,,0.04864,12.937271,77.559649,,8860145a6bfffff,47.0,ward_48
