h3_id,elevation_m,slope,flow_accumulation,flood_risk_index,centroid_x,centroid_y,ward_id
8860145b59fffff,871.182,2.641,0.064,0.523,1443100.5265684128,14144130.853506768,
8861892e99fffff,893.679,2.749,0.064,0.337,1444750.2578273828,14166088.948535647,
8860145b57fffff,892.446,2.794,0.064,0.346,1444769.1408940393,14139904.78882227,
8860145b31fffff,898.5,2.652,0.064,0.298,1448102.853188195,14135810.493485134,
8861892e91fffff,890.088,2.06,0.467,0.45,1445584.8078486465,14163967.88330922,
88618925bbfffff,870.022,2.078,0.064,0.537,1441431.6917572848,14148359.631968522,
8860145b13fffff,880.314,1.845,0.064,0.455,1445609.307320559,14129094.287107684,
8860145b53fffff,871.1,2.286,0.294,0.577,1443937.9561552787,14137663.582484493,
8860145a05fffff,882.762,2.807,0.064,0.426,1441444.5400403,14130945.880823744,
8861892ed9fffff,886.733,0.917,2.757,0.621,1443077.630107537,14174711.862668043,
8860145a45fffff,872.882,2.026,0.064,0.514,1439772.644090823,14139516.822013127,
88618925abfffff,885.294,1.674,0.064,0.416,1442256.3439301567,14159335.566615464,
8860145b09fffff,899.198,3.577,0.064,0.286,1445597.3014061686,14146504.509536969,
8860145a61fffff,868.155,1.695,0.064,0.557,1441438.1766887119,14139646.128799332,
8861892593fffff,866.901,1.876,0.179,0.593,1439769.3386880106,14143871.60432991,
8861892585fffff,889.517,1.799,0.064,0.38,1441421.7362510222,14161454.821920112,
8861892e95fffff,897.851,1.863,0.064,0.31,1446416.157306222,14166220.169740977,
8860145b15fffff,878.953,2.04,0.179,0.492,1446437.5344469596,14135681.434505627,
8861892ebbfffff,891.946,2.374,0.064,0.354,1447250.6512205144,14164098.956079043,
88618925b1fffff,875.624,2.083,0.064,0.491,1442262.902879889,14150605.130477523,
8861892ed5fffff,885.211,3.676,6.386,0.642,1444743.7195492473,14174843.694405962,
8861892e97fffff,880.839,2.211,8.906,0.698,1446419.3027050276,14161847.500952756,
886189258bfffff,884.676,1.155,0.064,0.43,1439759.2401942115,14156955.877951683,
8861892cd9fffff,914.371,3.207,0.064,0.163,1448919.4733351395,14159858.577219356,
8860145b17fffff,877.3,2.191,1.936,0.656,1446440.4663741915,14131332.037468806,
886014584dfffff,875.05,1.739,5.565,0.736,1444778.1712247347,14126857.520820096,
8861892581fffff,883.345,1.192,1.936,0.62,1440590.47670542,14159204.85317633,
8860145b41fffff,893.251,3.568,0.064,0.335,1444759.8365040617,14152981.889331793,
8860145b35fffff,896.066,2.668,1.936,0.497,1448934.0808652008,14138051.200679347,
88618925a9fffff,872.354,2.217,7.437,0.763,1442253.0187893233,14163705.78496226,
8860145b49fffff,859.571,4.399,6.616,0.852,1443925.3940926215,14155099.100750651,
8860145b63fffff,895.919,3.634,0.467,0.39,1447259.8330559905,14150995.495684145,
8860145b23fffff,920.413,2.668,0.064,0.117,1448931.2204268044,14142406.030236645,
8861892599fffff,881.739,1.913,0.064,0.443,1438931.447151999,14150344.96497959,
8861892583fffff,888.474,2.173,0.064,0.384,1440593.8494375932,14154838.281592952,
8861892591fffff,863.679,2.238,8.906,0.84,1439766.0029098918,14148229.70464318,
8860145b21fffff,896.533,2.617,1.936,0.494,1448928.3294630588,14146764.177993275,
8860145b0bfffff,881.267,1.965,1.0,0.578,1445600.3485802333,14142146.982670188,
88618925e3fffff,885.26,1.367,0.064,0.421,1441418.3568862784,14165826.553379886,
8861892cdbfffff,910.963,0.693,0.064,0.226,1448922.455925681,14155490.446798613,
8860145b51fffff,866.081,2.794,4.514,0.791,1443934.8613098694,14142017.482155606,
886189259dfffff,881.382,1.939,0.064,0.445,1439762.6367480839,14152591.127623564,
8860145b6bfffff,896.129,3.455,0.064,0.312,1446425.501947358,14153112.17447066,
8861892e9bfffff,895.903,0.64,0.064,0.353,1444753.4812099359,14161716.592234548,
