"Anyone you know contracted dengue since January 2015?","Number of people that youpersonally know  have contracted dengue since January 2015?","How many fatal cases did you see","Where do you live?","Ward No and Name","Locality"
"Immediate family (parents, spouse, siblings, children)","3","0","Individual house","63 - Jaya Mahal",""
"Relatives / Friends / Acquaintances / Colleagues","More than 5","0","Individual house","151 - Koramangala","Koramangala"
"Domestic help / Workers / Service providers","2","0","Sharing room","160 - Raja Rajeshawari Nagar","Mailsandra"
"Immediate family (parents, spouse, siblings, children), Relatives / Friends / Acquaintances / Colleagues","More than 5","0","Individual house","18 - Radhakrishna Temple Ward","RMV II Stage, Hebbal"
"Immediate family (parents, spouse, siblings, children), Relatives / Friends / Acquaintances / Colleagues","2","0","Individual house","181 - Kumara Swamy Layout",""
"Relatives / Friends / Acquaintances / Colleagues","4","0","Apartment","63 - Jaya Mahal","Jayamahal"
"No","None","2","Apartment","3 - Atturu","Yelahanka new town"
"Relatives / Friends / Acquaintances / Colleagues","3","0","Individual house","165 - Ganesh Mandir Ward","banashankari 2nd stage"
"Relatives / Friends / Acquaintances / Colleagues","2","0","Individual house","90 - Halsoor","IndiraNagar"
"Domestic help / Workers / Service providers","4","0","Individual house","",""
"Immediate family (parents, spouse, siblings, children)","3","0","Individual house","85 - Dodda Nekkundi","BEML Layout"
"Myself, Relatives / Friends / Acquaintances / Colleagues","4","0","Apartment","52 - KR Puram","WHITEFIELD"
"Immediate family (parents, spouse, siblings, children), Relatives / Friends / Acquaintances / Colleagues","3","1","Individual house","",""
"Myself, Immediate family (parents, spouse, siblings, children)","3","none( I had chikengunya not DENGUE)","Individual house","60 - Sagayara Puram",""
"Myself","5","0","Apartment","108 - Sri Rama Mandir Ward","Rajajinagar"
"Immediate family (parents, spouse, siblings, children), Relatives / Friends / Acquaintances / Colleagues","3","1","Individual house","87 - HAL Airport","LB Shastry Nagar"
"Myself, Immediate family (parents, spouse, siblings, children)","3","3","Individual house","54 - Hudi","Hoody"
"No","None","0","","",""
"Relatives / Friends / Acquaintances / Colleagues","4","1","","",""
"Relatives / Friends / Acquaintances / Colleagues","4","1","Individual house","153 - Jaya Nagar","j p nagar"
"Relatives / Friends / Acquaintances / Colleagues","4","1","Individual house","153 - Jaya Nagar","j p nagar"
"Relatives / Friends / Acquaintances / Colleagues","4","0","Individual house","88 - Jeevanbhima Nagar",""
"Myself","4","0","Gated community","",""
"Immediate family (parents, spouse, siblings, children), Domestic help / Workers / Service providers","2","0","Individual house","","Kanakapura"
"Relatives / Friends / Acquaintances / Colleagues","More than 5","1","","",""
"Relatives / Friends / Acquaintances / Colleagues, Domestic help / Workers / Service providers","4","4","Apartment","",""
"No","More than 5","0","","",""
"Myself, Relatives / Friends / Acquaintances / Colleagues","2","0","Individual house","188 - Bilekhalli","Vijaya Bank Layout"
"Immediate family (parents, spouse, siblings, children), Relatives / Friends / Acquaintances / Colleagues","5","1","Individual house","27 - Banasavadi","Kalyannagar HRBR layout"
"Immediate family (parents, spouse, siblings, children), Relatives / Friends / Acquaintances / Colleagues","5","1","Individual house","27 - Banasavadi","Kalyannagar HRBR layout"
"No","None","0","Individual house","",""
"Relatives / Friends / Acquaintances / Colleagues","1","0","Individual house","",""
"No","None","0","Apartment","188 - Bilekhalli",""
"Relatives / Friends / Acquaintances / Colleagues","3","1","","",""
"Myself","3","1","Apartment","",""
"Immediate family (parents, spouse, siblings, children), Relatives / Friends / Acquaintances / Colleagues","5","1","Individual house","27 - Banasavadi","Kalyannagar HRBR layout"
"Relatives / Friends / Acquaintances / Colleagues","1","0","Apartment","55 - Devasandra","MSR Nagar"
"Relatives / Friends / Acquaintances / Colleagues","5","3","PG/Hostel","176 - BTM Layout",""
"Relatives / Friends / Acquaintances / Colleagues","None","0","","",""
"No","None","0","","",""
"Relatives / Friends / Acquaintances / Colleagues","1","0","","",""
"Relatives / Friends / Acquaintances / Colleagues","5","0","Apartment","",""
"Immediate family (parents, spouse, siblings, children)","More than 5","none","Gated community","34 - Gangenahalli","Mekri Circle, Giddappa Block, DGQA Residential Complex"
"Immediate family (parents, spouse, siblings, children)","None","none.","Apartment","",""
"No","None","0","Apartment","32 - Kaval Bairasandra","Sultanpalya. R.T.Nagar"
"Immediate family (parents, spouse, siblings, children)","None","none.","Apartment","174 - HSR Layout","HSR sector 2"
"Relatives / Friends / Acquaintances / Colleagues, Domestic help / Workers / Service providers","More than 5","0","Apartment","","Hulimavu"
"Immediate family (parents, spouse, siblings, children)","5","1","Apartment","183 - Chikkala Sandra",""
"Myself","1","0","Apartment","8 - Kodigehalli","Bhadrappa layout"
"Myself","3","0","Apartment","",""
"Relatives / Friends / Acquaintances / Colleagues","5","Zero","Apartment","112 - Domlur",""
"No","None","0","Individual house","",""
"No","None","0","","",""
"Immediate family (parents, spouse, siblings, children), Relatives / Friends / Acquaintances / Colleagues","More than 5","2","Gated community","150 - Bellanduru","Sarjapura Road, Junnsandra"
"Relatives / Friends / Acquaintances / Colleagues, Domestic help / Workers / Service providers","More than 5","3","Individual house","","Abbigere"
"No","2","2","Individual house","127 - Mudalapalya","manasanagar"
"Immediate family (parents, spouse, siblings, children)","3","0","Gated community","54 - Hudi","Whitefield"
"Relatives / Friends / Acquaintances / Colleagues","1","0","Individual house","180 - Banashankari Temple Ward",""
"Immediate family (parents, spouse, siblings, children)","More than 5","0","Gated community","150 - Bellanduru","Sarjapur main road"
"Relatives / Friends / Acquaintances / Colleagues","3","0","Individual house","",""
"Relatives / Friends / Acquaintances / Colleagues","2","1","Apartment","",""
"Immediate family (parents, spouse, siblings, children)","More than 5","0","Individual house","4 - Yelahanka Satellite Town","Yelahanka New Town"
"Immediate family (parents, spouse, siblings, children)","2","10","Individual house","151 - Koramangala","Venkatapura, Koramangla"
"Relatives / Friends / Acquaintances / Colleagues","1","0","","",""
"Relatives / Friends / Acquaintances / Colleagues","3","0","","",""
"Relatives / Friends / Acquaintances / Colleagues","2","0","Apartment","19 - Sanjaya Nagar","Postal Colony, Sanjaynagar"
"Relatives / Friends / Acquaintances / Colleagues","2","0","","",""
"Relatives / Friends / Acquaintances / Colleagues","1","0","","174 - HSR Layout","Koramangala"
"No","1","0","Apartment","",""
"Immediate family (parents, spouse, siblings, children)","3","0","Apartment","","Dommasandra,Sarjapur Road"
"Myself, Immediate family (parents, spouse, siblings, children), Domestic help / Workers / Service providers","More than 5","1","Individual house","","Koramangala"
"Relatives / Friends / Acquaintances / Colleagues","4","0","Individual house","53 - Basavanapura","devasandra, k.r.puram"
"Relatives / Friends / Acquaintances / Colleagues","3","1","","",""
"Myself, Relatives / Friends / Acquaintances / Colleagues","2","1","Apartment","","Doddanekundi"
"Relatives / Friends / Acquaintances / Colleagues, Domestic help / Workers / Service providers","2","None","","",""
"Relatives / Friends / Acquaintances / Colleagues, Domestic help / Workers / Service providers","2","None","","",""
"Relatives / Friends / Acquaintances / Colleagues","2","0","Individual house","52 - KR Puram","Kalyan nagar babusa palya"
"Myself","4","0","Individual house","",""
"Immediate family (parents, spouse, siblings, children)","1","0","Apartment","","Ulsoor"
"Relatives / Friends / Acquaintances / Colleagues","1","0","Apartment","49 - Lingarajapura","Lingarajapuram"
"Relatives / Friends / Acquaintances / Colleagues","4","None","","",""
"Domestic help / Workers / Service providers","5","0","","",""
"Myself","3","0","Individual house","117 - Shanthi Nagar","Viveknagar"
"Relatives / Friends / Acquaintances / Colleagues","1","0","PG/Hostel","",""
"Relatives / Friends / Acquaintances / Colleagues","1","0","Apartment","150 - Bellanduru","Kasavanahalli"
"Relatives / Friends / Acquaintances / Colleagues","2","0","Apartment","",""
"Immediate family (parents, spouse, siblings, children)","More than 5","1","Apartment","191 - Singa Sandra","Kudlu village"
"Relatives / Friends / Acquaintances / Colleagues","2","2","Individual house","87 - HAL Airport","HAL Central township"
"No","1","0","Individual house","",""
"No","None","0","PG/Hostel","",""
"Domestic help / Workers / Service providers","More than 5","3","Apartment","151 - Koramangala",""
"Myself","1","4","Apartment","172 - Madivala","Madiwala"
"Relatives / Friends / Acquaintances / Colleagues","2","0","Apartment","",""
"Domestic help / Workers / Service providers","5","0","Apartment","174 - HSR Layout","HSR layout Sector 4"
"Relatives / Friends / Acquaintances / Colleagues","More than 5","0","Apartment","86 - Marathahalli",""
"Relatives / Friends / Acquaintances / Colleagues","5","1","Individual house","",""
"No","More than 5","0","Individual house","",""
"Immediate family (parents, spouse, siblings, children), Relatives / Friends / Acquaintances / Colleagues","3","0","Individual house","113 - Konena Agrahara","Vinayakanagar -B -Block"
"Relatives / Friends / Acquaintances / Colleagues","More than 5","0","Gated community","150 - Bellanduru","Junnasandra"
"Relatives / Friends / Acquaintances / Colleagues","More than 5","0","Gated community","19 - Sanjaya Nagar","RMV II Stage"
"Relatives / Friends / Acquaintances / Colleagues","3","3","Apartment","",""
