h3_id,centroid_lat,centroid_lon,ward_id,hex_area_sqm,total_buildings,total_footprint_m2,builtup_pct,avg_floors,avg_height_m
8860145b59fffff,12.963592603741283,77.57329905534104,ward_8,759254.8217755157,460,224681.93623169692,29.592427968554578,0.015217391304347827,
8861892599fffff,12.926141126000608,77.58530576992891,ward_93,759474.1162930011,936,201222.05631970908,26.494919576966687,0.10042735042735043,
88618925a5fffff,12.970944449560163,77.61133503110806,ward_21,759729.0289671386,634,233283.52719834045,30.706148943063607,0.7113564668769716,79.05
8860145b4dfffff,12.978470030208516,77.59882231108583,ward_4,759555.5420455793,251,208122.7989561476,27.400603041569088,1.2629482071713147,19.428571428571427
88618925b9fffff,12.948571668200072,77.589894359399,ward_36,759493.835662141,672,101446.75742591984,13.35715349650951,0.004464285714285714,4.0
8860145b57fffff,12.978582021314107,77.56512705469368,ward_3,759123.6171990369,341,166571.6803684336,21.942629183773594,0.7331378299120235,75.875
88618925c7fffff,12.933515474586674,77.6149164447063,ward_77,759840.5169592015,829,217395.63537677441,28.61069270782873,0.11459589867310012,33.25
886189251bfffff,12.925952675128206,77.63585628174276,ward_120,760121.5648044213,807,165352.7333399119,21.7534590513107,0.07930607187112763,
8861892e93fffff,12.985937751109661,77.60316119029106,ward_23,759597.8435077508,2127,280307.13927693496,36.90204516412306,0.03008932769158439,80.5
88618925b1fffff,12.956068102101627,77.58580820442012,ward_10,759428.349886754,1322,233158.41670092105,30.70183207351815,0.02193645990922844,
8861892ea5fffff,13.023224341852869,77.64172169397366,ward_131,760024.2434232059,1432,260658.06235615263,34.29601945092294,0.03840782122905028,
8861892c1bfffff,13.030721179575124,77.6376334312761,ward_143,759958.4476459807,1433,250941.94750310227,33.02048266986317,0.05722260990928123,
8860145b23fffff,13.015970618038212,77.56996437878519,ward_39,759119.0023903302,138,135318.0790636469,17.825674056051085,0.21739130434782608,
8860145b35fffff,13.015996313789364,77.56154107656299,ward_66,759010.9825523593,351,193062.4809573677,25.436058949785952,0.3475783475783476,
8860145949fffff,13.023463563823947,77.56587776142169,ward_66,759053.1557173325,386,118250.7308893295,15.578715403347255,0.13212435233160622,
8861892ea7fffff,13.023252021001467,77.63329140639621,ward_121,759916.4503318656,1825,271157.8112767517,35.68258209943126,0.011506849315068493,
8860145b49fffff,12.971002514823699,77.59448385371344,ward_21,759513.1926101476,318,159803.71941097762,21.0402822447093,0.9874213836477987,56.38461538461539
8860145b41fffff,12.9784984385692,77.59039730205839,ward_4,759447.6002746262,89,157495.20357305257,20.73812643770291,0.25842696629213485,16.644444444444446
886014591dfffff,13.03851983348496,77.53243862361903,ward_127,758597.1048928677,34,45897.106673710616,6.0502612490450245,4.294117647058823,
8861892583fffff,12.941074739876619,77.59398050332995,ward_58,759559.2789492799,838,201330.04706127307,26.506166489043316,0.0477326968973747,
8860145957fffff,13.031029347929861,77.53652471455983,ward_127,758663.0669410925,135,123774.0192733466,16.314754818947474,0.8222222222222222,102.25
8860145b21fffff,13.01594464807318,77.5783884782622,ward_39,759226.9959870111,333,102688.4437113788,13.525394151439736,0.057057057057057055,
8860145b45fffff,12.98596594592051,77.59473556663892,ward_4,759489.9176666077,446,196883.83827889612,25.923166812244894,0.9730941704035875,36.10625
8860145b4bfffff,12.971031136890282,77.58605945932766,ward_10,759405.2349275107,464,163543.34056539004,21.535714140948887,0.0625,17.25
8860145b47fffff,12.985993866794137,77.58631073934812,ward_7,759381.9654977495,205,125371.62364951507,16.50969200556905,0.44390243902439025,38.07142857142857
88618925b5fffff,12.963535205329858,77.59014581816213,ward_10,759470.7952200734,1047,215203.8116141167,28.33602199960259,0.04871060171919771,
8860145b43fffff,12.978526573156593,77.58197308948311,ward_1,759339.6321903754,294,163488.5918495685,21.530364664092758,0.12585034013605442,8.0
8860145b5dfffff,12.971059485347482,77.57763586148468,ward_2,759297.2509455008,870,193294.20460697872,25.456987282158956,0.07931034482758621,29.15
8860145b39fffff,13.001036304576731,77.56129104486568,ward_28,759034.5440911719,2312,331895.4392547667,43.72599927611474,0.006487889273356401,
8860145b01fffff,12.993515958516587,77.57380031692996,ward_9,759208.2994655346,1228,300710.2747666104,39.608401933738556,0.2263843648208469,124.0
88618925a7fffff,12.970973619072177,77.60290904439074,ward_21,759621.1239656688,475,254813.74832569167,33.54484759394448,1.0,24.325
8861892ed3fffff,12.970915006212191,77.6197618136137,ward_44,759836.9075802679,303,137680.98685901007,18.119807748936662,0.49504950495049505,
8860145b55fffff,12.978554434046352,77.57354967361117,ward_1,759231.6378233865,487,207311.5810370702,27.305445493736826,0.23203285420944558,6.384615384615385
8860145a23fffff,12.9637041207288,77.53961509431805,ward_53,758822.5600343096,2051,267641.5766406977,35.27064042858669,0.0034129692832764505,3.1
8860145941fffff,13.030956012155452,77.56179113325213,ward_100,758987.2667254984,1239,332191.06990860956,43.76767364514331,0.004842615012106538,
8860145b33fffff,13.008554904176677,77.54878292418904,ward_50,758860.6995170193,1763,257944.0586294633,33.990962872847824,0.11003970504821327,82.93333333333332
8860145b0dfffff,12.993488799175898,77.58222416562413,ward_7,759316.2883008701,734,169510.41045851048,22.324084583754377,0.07901907356948229,100.0
8860145b37fffff,13.016021735402642,77.5531185718465,ward_50,758902.9365042043,309,176735.58476615336,23.288298972759904,0.48220064724919093,14.0
8861892581fffff,12.941044442112092,77.60240482818998,ward_55,759667.2212211605,1578,258531.93777774347,34.03226183198414,0.005703422053231939,
8861892585fffff,12.948511773691434,77.60674344193174,ward_52,759709.7147668367,1085,179080.54410373018,23.572233002008137,0.004608294930875576,
8861892531fffff,12.955857094253215,77.64479264694248,ward_106,760183.5381194194,420,168336.11777455366,22.144141425502596,0.669047619047619,35.1
886189253bfffff,12.948388703037994,77.64045115469686,ward_106,760141.1562975044,66,87544.1630942249,11.516829784698809,1.0454545454545454,
8861892537fffff,12.963356443176025,77.64070521174854,ward_130,760118.083116048,1570,243716.3041210882,32.062953050924826,0.1356687898089172,
8861892539fffff,12.948357251261466,77.64888007052257,ward_190,760248.9505381426,149,73085.08786664855,9.613309931557977,0.20134228187919462,
8861892597fffff,12.94113451593992,77.57713424231676,ward_32,759343.315446895,1014,273909.0212601945,36.07182886689287,0.05917159763313609,
8860145b69fffff,12.993433658569547,77.599074253081,ward_7,759532.1870922735,413,148405.41666499988,19.539055643335164,0.021791767554479417,
8861892533fffff,12.955888059283073,77.636363911863,ward_106,760075.7333563832,944,199238.7138826305,26.213008143651884,0.0031779661016949155,
88618925e9fffff,12.94095190898383,77.62768257716623,ward_104,759990.8897765579,2010,290955.2560973882,38.284045244664824,0.038308457711442784,
88618925cdfffff,12.92598476642781,77.6274292079125,ward_120,760013.7227333443,522,175711.57819219047,23.11952704751885,0.12835249042145594,37.45
8861892589fffff,12.933546532603962,77.60649114256897,ward_87,759732.6115277903,1044,273129.62932418543,35.95075756652505,0.08237547892720307,
88618925a3fffff,12.963506095880325,77.59857039427169,ward_24,759578.7424849526,755,253852.9828513121,33.42023264379874,0.39072847682119205,
8861892587fffff,12.948541857617831,77.59831850263484,ward_36,759601.7883856054,2461,282131.3928531852,37.142012718638256,0.01950426655830963,4.5
