h3_id,n_buildings,total_built_area_m2,hex_area_m2,built_percentage,lulc_built_up_percent,lulc_vegetation_percent,lulc_water_percent,lulc_barren_percent,lulc_road_percent,lulc_built_up_percent_2013,lulc_change_2013_2023
886014580dfffff,344,40478.767053742646,758559.8160920428,0.053362656701592265,5.336265670159227,0.0,0.0,0.0,0.0,4.269012536127382,1.0672531340318452
8860145825fffff,27,31209.840486952216,758512.7433424384,0.04114609907464958,4.114609907464958,0.0,0.0,0.0,0.0,3.2916879259719667,0.8229219814929913
8860145829fffff,11,1770.1224092822085,758536.3567860819,0.002333602593265557,0.2333602593265557,0.0,0.0,0.0,0.0,0.1866882074612446,0.04667205186531112
886014582dfffff,270,24275.305617072663,758578.6413755821,0.03200104022577357,3.200104022577357,0.0,0.0,0.0,0.0,2.5600832180618855,0.6400208045154714
8860145841fffff,1264,202454.95216506088,758691.2727115098,0.266847609095991,26.6847609095991,0.0,0.0,0.0,0.0,21.34780872767928,5.33695218191982
8860145843fffff,294,48280.840817571465,758583.121234854,0.06364607841389597,6.364607841389597,0.0,0.0,0.0,0.0,5.091686273111677,1.2729215682779191
8860145845fffff,1203,194881.28972418088,758733.7012145497,0.25685070982378,25.685070982378,0.0,0.0,0.0,0.0,20.548056785902403,5.137014196475597
8860145847fffff,470,77360.42793548775,758625.5655548509,0.10197445412864137,10.197445412864138,0.0,0.0,0.0,0.0,8.157956330291311,2.0394890825728265
8860145849fffff,2233,339297.71822898026,758756.9375462711,0.4471757705784258,44.717577057842576,0.0,0.0,0.0,0.0,35.77406164627406,8.943515411568512
886014584bfffff,1567,220756.84159243567,758648.7963664227,0.2909868738337937,29.098687383379367,0.0,0.0,0.0,0.0,23.278949906703495,5.819737476675872
886014584dfffff,1289,213796.67352268499,758799.3980745001,0.28175651438997856,28.175651438997857,0.0,0.0,0.0,0.0,22.540521151198288,5.635130287799569
8860145861fffff,2108,246921.87560059145,758710.3106532266,0.3254494793777077,32.54494793777077,0.0,0.0,0.0,0.0,26.035958350216617,6.508989587554154
8860145863fffff,1041,114631.0275887321,758602.1805490821,0.15110822316086844,15.110822316086844,0.0,0.0,0.0,0.0,12.088657852869476,3.0221644632173685
8860145865fffff,2190,216364.0111317053,758752.611405997,0.2851575175876821,28.51575175876821,0.0,0.0,0.0,0.0,22.81260140701457,5.703150351753642
8860145867fffff,308,55067.407666118954,758644.4971515065,0.07258657760371472,7.258657760371472,0.0,0.0,0.0,0.0,5.8069262082971775,1.4517315520742944
8860145869fffff,2546,318048.7422057061,758776.0818590759,0.41916021051488,41.916021051488,0.0,0.0,0.0,0.0,33.5328168411904,8.383204210297599
886014586bfffff,1843,223800.75995421497,758667.9620313371,0.29499171067536234,29.499171067536235,0.0,0.0,0.0,0.0,23.59933685402899,5.899834213507244
886014586dfffff,2117,300801.74548421305,758818.414629986,0.39640807297868436,39.640807297868434,0.0,0.0,0.0,0.0,31.712645838294748,7.928161459573687
8860145909fffff,526,54293.96543562499,758813.2847458483,0.071551153000451,7.1551153000451,0.0,0.0,0.0,0.0,5.7240922400360805,1.4310230600090197
886014590bfffff,8,6237.942991934173,758705.2078880639,0.008221827037800554,0.8221827037800553,0.0,0.0,0.0,0.0,0.6577461630240443,0.164436540756011
8860145911fffff,17,24835.100916161344,758488.9757853963,0.032742863388944075,3.2742863388944077,0.0,0.0,0.0,0.0,2.619429071115526,0.6548572677788815
8860145919fffff,38,33917.04696207536,758554.9480570849,0.044712709407470554,4.471270940747055,0.0,0.0,0.0,0.0,3.577016752597644,0.8942541881494108
886014591dfffff,34,45897.1066737106,758597.1048928677,0.060502612490450226,6.050261249045023,0.0,0.0,0.0,0.0,4.840208999236019,1.2100522498090038
8860145941fffff,1239,332191.0699086092,758987.2667254984,0.4376767364514327,43.76767364514327,0.0,0.0,0.0,0.0,35.01413891611462,8.753534729028651
8860145943fffff,1327,221588.03715990405,758879.226303185,0.29199381071392766,29.199381071392764,0.0,0.0,0.0,0.0,23.359504857114214,5.839876214278551
8860145945fffff,677,132923.35083032688,759029.3599302805,0.17512280531880395,17.512280531880396,0.0,0.0,0.0,0.0,14.009824425504318,3.502456106376078
8860145947fffff,800,131982.38860139585,758921.3354355044,0.17390786427905364,17.390786427905365,0.0,0.0,0.0,0.0,13.912629142324292,3.478157285581073
8860145949fffff,386,118250.73088932958,759053.1557173325,0.15578715403347265,15.578715403347266,0.0,0.0,0.0,0.0,12.462972322677814,3.1157430806694517
886014594bfffff,2259,336461.6843747313,758945.1255787163,0.44332807871737784,44.332807871737785,0.0,0.0,0.0,0.0,35.46624629739023,8.866561574347557
886014594dfffff,1155,295736.0224842526,759095.2809367442,0.38959012117596925,38.95901211759693,0.0,0.0,0.0,0.0,31.167209694077542,7.7918024235193855
8860145951fffff,416,162209.10858021566,758728.9867403602,0.21379057794680542,21.37905779468054,0.0,0.0,0.0,0.0,17.103246235744432,4.275811558936109
8860145953fffff,378,93806.77399011004,758620.8780980889,0.12365435318006227,12.365435318006227,0.0,0.0,0.0,0.0,9.892348254404983,2.4730870636012448
8860145955fffff,357,105717.79365637308,758771.1596984661,0.1393276382544443,13.93276382544443,0.0,0.0,0.0,0.0,11.146211060355546,2.786552765088885
8860145957fffff,135,123774.0192733466,758663.0669410925,0.16314754818947474,16.314754818947474,0.0,0.0,0.0,0.0,13.05180385515798,3.2629509637894945
8860145959fffff,1910,265931.94635337015,758794.864272785,0.3504661916870437,35.04661916870437,0.0,0.0,0.0,0.0,28.037295334963495,7.009323833740872
886014595bfffff,1174,138862.71891385355,758686.7658882167,0.18303036926086738,18.303036926086737,0.0,0.0,0.0,0.0,14.64242954086939,3.6606073852173466
886014595dfffff,658,220668.237765619,758837.0692441019,0.29079791526978593,29.079791526978592,0.0,0.0,0.0,0.0,23.263833221582875,5.815958305395718
8860145a01fffff,2074,291525.0757273461,758911.0734045866,0.38413601532986175,38.41360153298618,0.0,0.0,0.0,0.0,30.730881226388945,7.682720306597233
8860145a03fffff,807,91879.17281858904,758802.9474271385,0.1210843646958968,12.10843646958968,0.0,0.0,0.0,0.0,9.686749175671745,2.4216872939179357
8860145a05fffff,364,34772.31562877782,758953.6778947758,0.045816123752415346,4.5816123752415345,0.0,0.0,0.0,0.0,3.665289900193228,0.9163224750483066
8860145a07fffff,380,100062.35135924586,758845.567710566,0.13186128458407365,13.186128458407364,0.0,0.0,0.0,0.0,10.548902766725892,2.637225691681472
8860145a09fffff,2267,319763.20197758864,758976.5366909947,0.4213084153717062,42.130841537170625,0.0,0.0,0.0,0.0,33.7046732297365,8.426168307434125
8860145a0bfffff,1878,208576.41402421074,758868.421079457,0.2748518823955277,27.48518823955277,0.0,0.0,0.0,0.0,21.988150591642217,5.4970376479105525
8860145a0dfffff,2272,280848.85839405353,759019.1732252808,0.3700154993458856,37.00154993458856,0.0,0.0,0.0,0.0,29.601239947670848,7.400309986917712
8860145a11fffff,74,8539.41494590815,758652.1114500655,0.011256035298690674,1.1256035298690674,0.0,0.0,0.0,0.0,0.900482823895254,0.2251207059738134
8860145a15fffff,568,126573.4989714539,758694.7953177192,0.16683058820569424,16.683058820569425,0.0,0.0,0.0,0.0,13.34644705645554,3.3366117641138846
8860145a19fffff,194,32228.721765034792,758717.5634124704,0.042477890745115016,4.247789074511502,0.0,0.0,0.0,0.0,3.3982312596092017,0.8495578149023002
8860145a1dfffff,417,102164.5930316508,758760.2793232542,0.13464673338300262,13.464673338300262,0.0,0.0,0.0,0.0,10.771738670640211,2.692934667660051
8860145a21fffff,571,167605.43109032992,758930.6647563328,0.22084419417173295,22.084419417173294,0.0,0.0,0.0,0.0,17.667535533738636,4.416883883434657
8860145a23fffff,2051,267641.5766406977,758822.5600343096,0.3527064042858669,35.27064042858669,0.0,0.0,0.0,0.0,28.21651234286935,7.054128085717338
8860145a25fffff,940,113904.20503944591,758973.1414903558,0.150076727110235,15.0076727110235,0.0,0.0,0.0,0.0,12.0061381688188,3.0015345422047
8860145a27fffff,2139,284965.42650998273,758865.0525967951,0.37551528500995857,37.55152850099586,0.0,0.0,0.0,0.0,30.04122280079669,7.510305700199169
8860145a29fffff,913,123252.73044099145,758996.2345312726,0.1623891197788454,16.23891197788454,0.0,0.0,0.0,0.0,12.991129582307634,3.247782395576907
8860145a2bfffff,131,61245.589623404485,758888.1401570388,0.08070437048960967,8.070437048960967,0.0,0.0,0.0,0.0,6.456349639168774,1.6140874097921927
8860145a2dfffff,336,101205.62290820193,759038.7433059496,0.13333393558727535,13.333393558727536,0.0,0.0,0.0,0.0,10.66671484698203,2.666678711745506
8860145a31fffff,1287,191207.14101827578,758671.8729616558,0.2520287726917479,25.202877269174788,0.0,0.0,0.0,0.0,20.16230181533983,5.040575453834958
8860145a35fffff,1819,258535.6591480312,758714.4291691815,0.3407548996150458,34.07548996150458,0.0,0.0,0.0,0.0,27.260391969203667,6.815097992300913
8860145a37fffff,394,54778.24467743069,758606.2721913914,0.07220905848720757,7.220905848720757,0.0,0.0,0.0,0.0,5.776724678976606,1.4441811697441507
8860145a39fffff,852,232717.37054248728,758737.4313816256,0.30671660698051995,30.671660698051994,0.0,0.0,0.0,0.0,24.537328558441597,6.134332139610397
8860145a3bfffff,257,55641.843501778305,758629.268937444,0.07334523696892387,7.334523696892386,0.0,0.0,0.0,0.0,5.867618957513909,1.466904739378477
8860145a3dfffff,2002,240410.69878406005,758780.0196251553,0.3168384677588444,31.68384677588444,0.0,0.0,0.0,0.0,25.347077420707553,6.336769355176887
